24/09/2018 13:01,110 bpm
24/09/2018 13:01,112.2 bpm
24/09/2018 13:01,102.3 bpm
24/09/2018 13:02,114.4 bpm
24/09/2018 13:02,108.9 bpm
24/09/2018 13:02,114.4 bpm
24/09/2018 13:02,105.6 bpm
24/09/2018 13:02,118.8 bpm
24/09/2018 13:02,116.6 bpm
24/09/2018 13:02,105.6 bpm
24/09/2018 13:02,108.9 bpm
24/09/2018 13:02,111.1 bpm
24/09/2018 13:02,114.4 bpm
24/09/2018 13:02,105.6 bpm
24/09/2018 13:02,116.6 bpm
24/09/2018 13:03,107.8 bpm
24/09/2018 13:03,115.5 bpm
24/09/2018 13:03,102.3 bpm
24/09/2018 13:03,119.9 bpm
24/09/2018 13:03,99 bpm
24/09/2018 13:03,119.9 bpm
24/09/2018 13:03,107.8 bpm
24/09/2018 13:03,99 bpm
24/09/2018 13:03,106.7 bpm
24/09/2018 13:03,90 bpm
24/09/2018 13:03,81.6 bpm
24/09/2018 13:03,84.8 bpm
24/09/2018 13:04,77.6 bpm
24/09/2018 13:04,87.2 bpm
24/09/2018 13:04,72.8 bpm
24/09/2018 13:04,80.8 bpm
24/09/2018 13:04,84 bpm
24/09/2018 13:04,88 bpm
24/09/2018 13:04,84.8 bpm
24/09/2018 13:04,74.4 bpm
24/09/2018 13:04,88 bpm
24/09/2018 13:04,72 bpm
24/09/2018 13:04,83.2 bpm
24/09/2018 13:04,79.2 bpm
24/09/2018 13:05,73.6 bpm
24/09/2018 13:05,84 bpm
24/09/2018 13:05,76 bpm
24/09/2018 13:05,73.6 bpm
24/09/2018 13:05,88 bpm
24/09/2018 13:05,87.2 bpm
24/09/2018 13:05,86.4 bpm
24/09/2018 13:05,72.8 bpm
24/09/2018 13:05,87.2 bpm
24/09/2018 13:05,79.2 bpm
24/09/2018 13:05,76.8 bpm
24/09/2018 13:05,86.4 bpm
24/09/2018 13:06,80.8 bpm
24/09/2018 13:06,77.6 bpm
24/09/2018 13:06,85.6 bpm
24/09/2018 13:06,74.4 bpm
24/09/2018 13:06,86.4 bpm
24/09/2018 13:06,80 bpm
24/09/2018 13:06,72.8 bpm
24/09/2018 13:06,76.8 bpm
24/09/2018 13:06,77.6 bpm
24/09/2018 13:06,121 bpm
24/09/2018 13:06,116.6 bpm
24/09/2018 13:06,116.6 bpm
24/09/2018 13:07,121 bpm
24/09/2018 13:07,110 bpm
24/09/2018 13:07,102.3 bpm
24/09/2018 13:07,116.6 bpm
24/09/2018 13:07,112.2 bpm
24/09/2018 13:07,112.2 bpm
24/09/2018 13:07,111.1 bpm
24/09/2018 13:07,110 bpm
24/09/2018 13:07,115.5 bpm
24/09/2018 13:07,111.1 bpm
24/09/2018 13:07,105.6 bpm
24/09/2018 13:07,121 bpm
24/09/2018 13:08,107.8 bpm
24/09/2018 13:08,104.5 bpm
24/09/2018 13:08,116.6 bpm
24/09/2018 13:08,102.3 bpm
24/09/2018 13:08,119.9 bpm
24/09/2018 13:08,115.5 bpm
24/09/2018 13:08,100.1 bpm
24/09/2018 13:08,102.3 bpm
24/09/2018 13:08,90 bpm
24/09/2018 13:08,80 bpm
24/09/2018 13:08,83.2 bpm
24/09/2018 13:08,88 bpm
24/09/2018 13:09,77.6 bpm
24/09/2018 13:09,79.2 bpm
24/09/2018 13:09,81.6 bpm
24/09/2018 13:09,82.4 bpm
24/09/2018 13:09,72 bpm
24/09/2018 13:09,82.4 bpm
24/09/2018 13:09,87.2 bpm
24/09/2018 13:09,72 bpm
24/09/2018 13:09,76 bpm
24/09/2018 13:09,88 bpm
24/09/2018 13:09,88 bpm
24/09/2018 13:09,82.4 bpm
24/09/2018 13:10,76 bpm
24/09/2018 13:10,87.2 bpm
24/09/2018 13:10,82.4 bpm
24/09/2018 13:10,77.6 bpm
24/09/2018 13:10,86.4 bpm
24/09/2018 13:10,83.2 bpm
24/09/2018 13:10,72 bpm
24/09/2018 13:10,72 bpm
